MDA Name,Service Name,Digital Maturity,Key Bottlenecks
Business Registration  Services,Business / Company Registration,4 - Integrated,N/A
CABINET OFFICE,CABINET BUSSINESS,3 - Established,Manual forms Paper-based files Dependency on other MDAs
KENYA MARITIME AUHORITY,Seafarers service,2 - Developing,N/A
Kenya National Examinations Council,Kenya National Examinations Council (KNEC) Digital Examination Management System,5 - Optimized,N/A
Kenya National Examinations Council,Candidate Registration,3 - Established,N/A
Kenya National Examinations Council,Examination Registration and Certification Service,3 - Established,N/A
Kenya Revenue Authority,ABC,4 - Integrated,N/A
Kenya Revenue Authority,eTIMS,3 - Established,N/A
Kenya Revenue Authority,abc,4 - Integrated,N/A
Kenya Revenue Authority,iTax,4 - Integrated,N/A
Kenya Revenue Authority,Filing of Income Tax Return - Individual,5 - Optimized,N/A
Ministry Of Tourism,Tourism Returns System (TRS),4 - Integrated,N/A
Ministry of  Education,National Education Management Information System (NEMIS),4 - Integrated,N/A
Ministry of Education,Learner Registration via KEMIS,3 - Established,N/A
Ministry of Education,Student Registration & Admission (via NEMIS),3 - Established,N/A
Ministry of Health,Bhji,2 - Developing,N/A
Ministry of Health,test,5 - Optimized,N/A
Ministry of Health,Kenya Health Information System(KHIS),5 - Optimized,N/A
Ministry of Health (MoH),Health Facility Licensing and Registration Service,3 - Established,N/A
Ministry of health,Health Facility Licensing Application,3 - Established,N/A
Public Service Commission,Commission  Core and support Services,2 - Developing,Manual forms Paper-based files Lack of system integration
STATE DEPARTMENT FOR CORRECTIONAL SERVICES,Safe custody & inmate management,3 - Established,Manual forms Paper-based files Lack of system integration
STATE DEPARTMENT FOR ECONOMIC PLANNING,Monitoring and Evaluation of Government Programmes,2 - Developing,Paper-based files Lack of system integration Dependency on other MDAs
STATE DEPARTMENT FOR HIGHER EDUCATION AND RESEARCH,ACADEMIC,4 - Integrated,Lack of system integration High error rate Long queues
STATE DEPARTMENT FOR HOUSING AND URBAN DEVELOPMENT,Civil Servant Rent Payment System,2 - Developing,Paper-based files
STATE DEPARTMENT FOR HOUSING AND URBAN DEVELOPMENT,Housing Inventory Management  Register,1 - Ad-hoc/Manual,Manual forms
STATE DEPARTMENT FOR HOUSING AND URBAN DEVELOPMENT,Housing Maintenance Management,1 - Ad-hoc/Manual,Manual forms
STATE DEPARTMENT FOR HOUSING AND URBAN DEVELOPMENT,Management of Civil Servants Housing Scheme,2 - Developing,Manual forms Paper-based files
STATE DEPARTMENT FOR HOUSING AND URBAN DEVELOPMENT,Management of Slum Upgrading Housing,2 - Developing,N/A
STATE DEPARTMENT FOR IMMIGRATION AND CITIZEN SERVICES,Identification and Registration of Kenyan Citizens above the age of 18 years. Production and Issuance of Secure Identification Documents. Management of a Comprehensive Database of all Registered Persons. Detection and Prevention of Illegal registration.,3 - Established,Manual forms Paper-based files Dependency on other MDAs
STATE DEPARTMENT FOR MEDICAL SERVICES,Records Management Unit,1 - Ad-hoc/Manual,Manual forms Paper-based files Lack of system integration
STATE DEPARTMENT FOR TVET,RECORDS MANAGEMENT,1 - Ad-hoc/Manual,Manual forms Slow approvals Paper-based files
State Department for Broadcasting and Telecommunications,Sale of Historical and Current Photos,1 - Ad-hoc/Manual,Manual forms Slow approvals Paper-based files
State Department for Broadcasting and Telecommunications,Leasing of Office Space by KNA,3 - Established,Manual forms Lack of system integration
State Department for Correctional Services,Inmate Rehabilitation & Welfare Services,3 - Established,Manual forms Paper-based files
State Department for Higher Education,Overseeing University Governance and Management,1 - Ad-hoc/Manual,Manual forms Slow approvals High error rate
State Department for Immigration and Citizen Services- Civil Registration Services,Registration of Birth and Death events and  Issuance of Birth and Death Certificates,1 - Ad-hoc/Manual,Manual forms Paper-based files Dependency on other MDAs
State Department for Public Service and Human Capital Development,Policy,5 - Optimized,Slow approvals Paper-based files Dependency on other MDAs
State Department for Public Works,Pre-Construction of Built environment,4 - Integrated,Manual forms Slow approvals Paper-based files
"State Department for Science, Researc and Innovation","Promote science, research and innovation",1 - Ad-hoc/Manual,Manual forms Slow approvals High error rate
State Department of Immigration & Citizen Services- Directorate of Immigration Services,Travel Documents,3 - Established,Slow approvals Paper-based files Lack of system integration
The Ministry of Agriculture and Livestock Development,Kenya Integrated Agriculture Management Information System (KIAMIS) – Farmer Registration and Data Management,4 - Integrated,N/A
