Service_Code,Ministry,Department_Agency,Service_Family,Service_Category,Service_Name,Channel_Type,Service_Nature,Delivery_Mode,Digital_Platform,Legal_Basis,Target_Segment,Shared_Capabilities_Required,Lifecycle_Tag,Priority_Tier
INT-IMM-001,Ministry of Interior and National Administration,Department of Immigration Services,Immigration & Border Management,Immigration Services,Passport Application,C2G,Transactional,Online,eCitizen,Kenya Citizenship and Immigration Act,Citizen-facing,"Payments, Identity, Notifications, Workflow",Citizen,Tier 1
INT-IMM-002,Ministry of Interior and National Administration,Department of Immigration Services,Immigration & Border Management,Immigration Services,Passport Renewal,C2G,Transactional,Online,eCitizen,Kenya Citizenship and Immigration Act,Citizen-facing,"Payments, Identity, Notifications, Workflow",Citizen,Tier 1
INT-IMM-003,Ministry of Interior and National Administration,Department of Immigration Services,Immigration & Border Management,Immigration Services,Replacement Of Lost Passport,C2G,Transactional,Online,eCitizen,Kenya Citizenship and Immigration Act,Citizen-facing,"Payments, Identity, Notifications, Workflow",Citizen,Tier 1
INT-IMM-004,Ministry of Interior and National Administration,Department of Immigration Services,Immigration & Border Management,Immigration Services,Visa Application,C2G,Transactional,Online,eCitizen,Kenya Citizenship and Immigration Act,Foreign nationals,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
INT-IMM-005,Ministry of Interior and National Administration,Department of Immigration Services,Immigration & Border Management,Immigration Services,Work Permit Application,B2G,Regulatory,Online,eCitizen,Kenya Citizenship and Immigration Act,Employment-related,"Identity, Notifications, Workflow",Business,Tier 2
INT-IMM-006,Ministry of Interior and National Administration,Department of Immigration Services,Immigration & Border Management,Immigration Services,Alien Registration,B2G,Regulatory,Online,eCitizen,Kenya Citizenship and Immigration Act,Foreign residents,"Identity, Notifications, Workflow",Business,Tier 2
INT-REG-001,Ministry of Interior and National Administration,National Registration Bureau,Identity & Civil Registration,Registration of Persons,National Id Application,C2G,Transactional,Physical,Huduma,Registration of Persons Act,Citizen-facing,Payments,Citizen,Tier 2
INT-REG-002,Ministry of Interior and National Administration,National Registration Bureau,Identity & Civil Registration,Registration of Persons,Replacement Of Lost Id,C2G,Transactional,Physical,Huduma,Registration of Persons Act,Citizen-facing,Payments,Citizen,Tier 2
INT-REG-003,Ministry of Interior and National Administration,National Registration Bureau,Identity & Civil Registration,Registration of Persons,Correction Of Id Details,C2G,Transactional,Physical,Huduma,Registration of Persons Act,Citizen-facing,Payments,Citizen,Tier 2
INT-CIV-001,Ministry of Interior and National Administration,Civil Registration Services,Identity & Civil Registration,Civil Registration,Birth Registration,C2G,Transactional,Physical,Huduma,Births and Deaths Registration Act,Civil status,Payments,Citizen,Tier 1
INT-CIV-002,Ministry of Interior and National Administration,Civil Registration Services,Identity & Civil Registration,Civil Registration,Death Registration,C2G,Transactional,Physical,Huduma,Births and Deaths Registration Act,Civil status,Payments,Citizen,Tier 2
INT-CIV-003,Ministry of Interior and National Administration,Civil Registration Services,Identity & Civil Registration,Civil Registration,Issuance Of Birth Certificate,C2G,Transactional,Physical,Huduma,Births and Deaths Registration Act,Citizen-facing,Payments,Citizen,Tier 1
INT-SEC-001,Ministry of Interior and National Administration,National Police Service,Security & Public Safety,Internal Security,Police Clearance Certificate,C2G,Transactional,Online,eCitizen,National Police Service Act,Citizen-facing,"Payments, Identity, Notifications, Workflow",Citizen,Tier 1
INT-SEC-002,Ministry of Interior and National Administration,National Police Service,Security & Public Safety,Internal Security,Police Abstract,C2G,Transactional,Physical,Police Stations,National Police Service Act,Incident reporting,Payments,Citizen,Tier 1
INT-SEC-003,Ministry of Interior and National Administration,National Police Service,Security & Public Safety,Internal Security,Firearms Licensing,B2G,Regulatory,Hybrid,NPS Portal,Firearms Act,Restricted service,"Identity, Notifications, Workflow",Business,Tier 2
TRE-PFM-001,National Treasury and Economic Planning,National Treasury,Public Finance & Procurement,Public Finance Management,Budget Preparation And Submission,G2G,Transactional,Physical,IFMIS,Public Finance Management Act,Annual budget cycle,Payments,Internal Government,Tier 3
TRE-PFM-002,National Treasury and Economic Planning,National Treasury,Public Finance & Procurement,Public Finance Management,Issuance Of Budget Circulars,G2G,Transactional,Physical,Internal Systems,Public Finance Management Act,Guidance to MDAs,Payments,Internal Government,Tier 3
TRE-PFM-003,National Treasury and Economic Planning,National Treasury,Public Finance & Procurement,Public Finance Management,Exchequer Release Processing,G2G,Transactional,Physical,IFMIS,Public Finance Management Act,Funds release to MDAs,Payments,Internal Government,Tier 3
TRE-PFM-004,National Treasury and Economic Planning,National Treasury,Public Finance & Procurement,Public Finance Management,Supplementary Budget Processing,G2G,Transactional,Physical,IFMIS,Public Finance Management Act,Mid-year adjustments,Payments,Internal Government,Tier 3
TRE-ACC-001,National Treasury and Economic Planning,National Treasury,Public Finance & Procurement,Accounting Services,Accounting Officer Appointment,G2G,Transactional,Physical,Internal Systems,Public Finance Management Act,Designation of AOs,Payments,Internal Government,Tier 3
