Unnamed: 0,Unnamed: 1,Unnamed: 2,MDA Code,MDA Name,MDA Type,Cluster,Tier,Justification (Summary)
,S/N ,ENTITY’S NAME,,,,,,
,1.      ,STATE DEPARTMENT FOR CORRECTIONAL SERVICES,,,,,,
,2.      ,OFFICE OF THE ATTORNEY GENERAL  (AG),,,,,,
,3.      ,OFFICE OF THE DATA PROTECTION COMMISIONER (ODPC),,,,,,
,4.      ,HUDUMA SECRETARIAT ,,,,,,
,5.      ,STATE DEPARTMENT FOR IMMIGRATION AND CITIZEN SERVICES,,,,,,
,,·       E – CITIZEN ,,,,,,
,,·       CIVIL REGISTRATION SERVICES (CRS),,,,,,
,,·       NATIONAL REGISTRATION BUREAU (NRB),,,,,,
,,·       INTEGRATED POPULATION REGISTRATION SYSTEM,,,,,,
,,·       REFUGEE SERVICES,,,,,,
,6.      ,KENYA REVENUE AUTHORITY (KRA),,,,,,
,7.      ,PUBLIC SERVICE COMMISION (PSC),,,,,,
,8.      ,STATE DEPARTMENT FOR PUBLIC SERVICE AND HUMAN CAPITAL,,,,,,
,9.      ,NATIONAL POLICE SERVICE (NPS),,,,,,
,10.  ,CABINET OFFICE,,,,,,
,11.  ,THE NATIONAL TREASURY,,,,,,
,12.  ,STATE DEPARTMENT FOR BASIC EDUCATION,,,,,,
,13.  ,STATE DEPARTMENT FOR TVET,,,,,,
,14.  ,MINISTRY OF AGRICULTURE AND LIVESTOCK DEVELOPMENT,,,,,,
,15.  ,"MINISTRY OF INVESTMENT, TRADE AND INDUSTRY",,,,,,
,16.  ,STATE DEPARTMENT FOR LANDS AND PHYSICAL PLANNING,,,,,,
,17.  ,STATE DEPARTMENT FOR TRANSPORT,,,,,,
,18.  ,NATIONAL TRANSPORT AND SAFETY AUTHORITY (NTSA),,,,,,
,19.  ,STATE DEPARTMENT FOR MINING,,,,,,
,20.  ,STATE DEPARTMENT FOR ENVIRONMENT,,,,,,
,21.  ,NATIONAL ENVIRONMENT AND MANAGEMENT AUTHORITY,,,,,,
,22.  ,MINISTRY OF  ENERGY AND PETROLEUM ,,,,,,
,23.  ,STATE DEPARTMENT FOR PARLIAMENTARY AFFAIRS,,,,,,
,24.  ,ENERGY AND PETROLEUM AUTHORITY,,,,,,
,25.  ,THE JUDICIARY,,,,,,
,26.  ,KENYA BUREAU OF STANDARDS,,,,,,
,27.  ,KENYA NATIONAL BUREA OF STATISTICS,,,,,,
,28.  ,STATE DEPARTMENT OF MEDICAL SERVICES,,,,,,
,29.  ,STATE DEPARTMENT FOR PUBLIC HEALTH,,,,,,
,30.  ,KENYA MEDICAL SUPPLIES AUTHORITY,,,,,,
,,,3003.0,Agricultural Finance Corporation,Agency,Agriculture Rural and Urban Development,Tier 2,Representative regulator/service body; permits/licensing/registries; moderate volumes; suitable exemplar.
